Phone_number,Password,Book_version,Quiz data
9000000001,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000002,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000003,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000004,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000005,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000006,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000007,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000008,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000009,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
9000000010,123456,/v4/,"{""custom_data"":"""",""attempt"":[{""id"":""6222237f9844ef396391e854"",""chapter"":""recall what happened in the story"",""difficulty"":""Medium"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":4.1,""thinkTime"":[{""id"":""B"",""time"":2.4}]},{""id"":""6222237f9844ef396391e853"",""chapter"":""recall what happened in the story"",""difficulty"":""Hard"",""blooms"":""Analysing"",""attempted"":true,""correct"":false,""timeSpent"":2.7,""thinkTime"":[{""id"":""D"",""time"":1.4}]},{""id"":""6222237f9844ef396391e851"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":false,""timeSpent"":2.4,""thinkTime"":[{""id"":""B"",""time"":1.5}]},{""id"":""6222237f9844ef396391e852"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Remembering"",""attempted"":true,""correct"":true,""timeSpent"":3,""thinkTime"":[{""id"":""D"",""time"":1.1}]},{""id"":""6222237f9844ef396391e855"",""chapter"":""recall what happened in the story"",""difficulty"":""Easy"",""blooms"":""Understanding"",""attempted"":true,""correct"":true,""timeSpent"":2.7,""thinkTime"":[{""id"":""A"",""time"":0.9}]}],""evaluated_score"":"""",""info"":{""attemptedQuestions"":5,""correctedQuestions"":2,""noOfQuestions"":5},""evaluatedScore"":2},""quizType"":""eosq"""
